Year,No.,Round,Pick,Player,Name,Team,College
NA,11,4,18,115,Lee Suggs,Browns,Virginia Tech
NA,12,4,21,118,Jeremi Johnson,Bengals,Western Kentucky
NA,13,4,24,121,Justin Griffith,Falcons,Mississippi State
NA,14,4,35,132,LaBrandon Toefield,Jaguars,Louisiana State
NA,15,4,37,134,Ovie Mughelli,Ravens,Wake Forest
NA,16,5,30,165,Chris Davis,Seahawks,Syracuse
NA,17,6,33,206,Brock Forsey,Bears,Boise State
NA,18,7,4,218,Malaefou MacKenzie,Jaguars,USC
NA,19,7,15,229,Andrew Pinnock,Chargers,South Carolina
NA,20,7,21,235,Ahmaad Galloway,Broncos,Alabama
NA,21,7,22,236,Brandon Drumm,Lions,Colorado
NA,22,7,28,242,J.T. Wall,Steelers,Georgia
NA,23,7,33,247,Casey Moore,Panthers,Stanford
2002,1,1,16,16,William Green,Browns,Boston College
NA,2,1,18,18,T.J. Duckett,Falcons,Michigan State
NA,3,2,2,34,DeShaun Foster,Panthers,UCLA
NA,4,2,19,51,Clinton Portis,Broncos,Miami (FL)
NA,5,2,22,54,Maurice Morris,Seahawks,Oregon
NA,6,2,24,56,Ladell Betts,Redskins,Iowa
NA,7,3,19,84,Lamar Gordon,Rams,North Dakota State
NA,8,3,26,91,Brian Westbrook,Eagles,Villanova
NA,9,4,1,99,Jonathan Wells,Texans,Ohio State
NA,10,4,9,107,Omar Easy,Chiefs,Penn State
NA,11,4,21,119,Travis Stephens,Buccaneers,Tennessee
NA,12,4,31,129,Jamar Martin,Cowboys,Ohio State
NA,13,4,37,135,Najeh Davenport,Packers,Miami (FL)
NA,14,5,1,136,Jarrod Baxter,Texans,New Mexico
NA,15,5,10,145,Kyle Johnson,Panthers,Syracuse
NA,16,5,31,166,Verron Haynes,Steelers,Georgia
NA,17,6,13,185,Josh Scobey,Cardinals,Kansas State
NA,18,6,25,197,Larry Ned,Raiders,San Diego State
NA,19,6,27,199,Adrian Peterson,Bears,Georgia Southern
NA,20,6,32,204,Brian Allen,Colts,Stanford
NA,21,6,35,207,Chester Taylor,Ravens,Toledo
NA,22,7,3,214,Luke Staley,Lions,Brigham Young
NA,23,7,26,237,Antwoine Womack,Patriots,Virginia
NA,24,7,30,241,Leonard Henry,Dolphins,East Carolina
NA,25,7,41,252,Jarrett Ferguson,Bills,Virginia Tech
NA,26,7,46,257,Rock Cartwright,Redskins,Kansas State
2001,1,1,5,5,LaDainian Tomlinson,Chargers,Texas Christian
NA,2,1,23,23,Deuce McAllister,Saints,Mississippi
NA,3,1,27,27,Michael Bennett,Vikings,Wisconsin
NA,4,2,7,38,Anthony Thomas,Bears,Michigan
NA,5,2,18,49,LaMont Jordan,Jets,Maryland
NA,6,2,27,58,Travis Henry,Bills,Tennessee
NA,7,3,3,65,James Jackson,Browns,Miami (FL)
NA,8,3,18,80,Kevan Barlow,49ers,Pittsburgh
NA,9,3,20,82,Heath Evans,Seahawks,Auburn
NA,10,3,23,85,Travis Minor,Dolphins,Florida State
NA,11,4,5,100,Rudi Johnson,Bengals,Auburn
NA,12,4,13,108,George Layne,Chiefs,Texas Christian
NA,13,4,20,115,Moran Norris,Saints,Kansas
NA,14,4,26,121,Correll Buckhalter,Eagles,Nebraska
NA,15,5,19,150,Derrick Blaylock,Chiefs,Stephen F. Austin
NA,16,5,30,161,Chris Barnes,Ravens,New Mexico State
NA,17,6,11,174,Jameel Cook,Buccaneers,Illinois
NA,18,6,12,175,Dadrian Brown,Panthers,Syracuse
NA,19,6,29,192,Dan Alexander,Titans,Nebraska
NA,20,7,28,228,Derek Combs,Raiders,Ohio State
2000,1,1,5,5,Jamal Lewis,Ravens,Tennessee
NA,2,1,7,7,Thomas Jones,Cardinals,Virginia
NA,3,1,11,11,Ron Dayne,Giants,Wisconsin
NA,4,1,19,19,Shaun Alexander,Seahawks,Alabama
NA,5,1,31,31,Trung Canidate,Rams,Arizona
NA,6,3,1,63,Travis Prentice,Browns,Miami (OH)
NA,7,3,14,76,J.R. Redmond,Patriots,Arizona State
NA,8,3,19,81,Reuben Droughns,Lions,Oregon
NA,9,3,26,88,Doug Chapman,Vikings,Marshall
NA,10,4,2,96,Terrelle Smith,Saints,Arizona State
NA,11,4,3,97,Curtis Keaton,Bengals,James Madison
NA,12,4,21,115,Frank Moreau,Chiefs,Louisville
NA,13,4,23,117,Deon Dyer,Dolphins,North Carolina
NA,14,5,3,132,Paul Smith,49ers,Texas-El Paso
NA,15,5,15,144,Michael Wiley,Cowboys,Ohio State
NA,16,5,24,153,Dante Hall,Chiefs,Texas A&M
NA,17,5,27,156,Sammy Morris,Bills,Texas Tech
NA,18,5,37,166,Chad Morton,Saints,USC
NA,19,6,4,170,Frank Murphy,Bears,Kansas State
NA,20,6,5,171,Thomas Hamner,Eagles,Minnesota
NA,21,6,23,189,Mike Anderson,Broncos,Utah
NA,22,7,7,213,Mike Green,Titans,Houston
NA,23,7,21,227,Mondriel Fulcher,Raiders,Miami (FL)
NA,24,7,33,239,Patrick Pass,Patriots,Georgia
NA,25,7,37,243,Shyrone Stith,Jaguars,Virginia Tech
NA,26,7,46,252,Rondell Mealey,Packers,Louisiana State
1999,1,1,4,4,Edgerrin James,Colts,Miami (FL)
NA,2,1,5,5,Ricky Williams,Saints,Texas
NA,3,2,8,39,J.J. Johnson,Dolphins,Mississippi State
NA,4,2,12,43,Rob Konrad,Dolphins,Syracuse
NA,5,2,15,46,Kevin Faulk,Patriots,Louisiana State
NA,6,2,18,49,Joe Montgomery,Giants,Ohio State
NA,7,2,23,54,Mike Cloud,Chiefs,Boston College
NA,8,2,29,60,Jermaine Fazande,Chargers,Oklahoma
NA,9,3,25,86,Shawn Bryson,Bills,Tennessee
NA,10,3,31,92,Jeff Paulk,Falcons,Arizona State
NA,11,3,34,95,Amos Zereoue,Steelers,West Virginia
NA,12,4,8,103,Sedrick Irvin,Lions,Michigan State
NA,13,4,17,112,Sean Bennett,Giants,Northwestern
NA,14,4,21,116,Joel Makovicka,Cardinals,Nebraska
NA,15,4,32,127,Olandis Gary,Broncos,Georgia
NA,16,5,1,134,Cecil Collins,Dolphins,McNeese State
NA,17,5,2,135,Nick Williams,Bengals,Miami (FL)
NA,18,5,24,157,Terry Jackson,49ers,Florida
NA,19,5,26,159,DeMond Parker,Packers,Oklahoma
NA,20,6,3,172,Cecil Martin,Eagles,Wisconsin
NA,21,6,26,195,Lamarr Glenn,Buccaneers,Florida State
NA,22,6,37,206,Dennis McKinley,Cardinals,Mississippi State
NA,23,7,1,207,Madre Hill,Browns,Arkansas
NA,24,7,27,233,Autry Denson,Buccaneers,Notre Dame
NA,25,7,47,253,James Finn,Bears,Pennsylvania
1998,1,1,5,5,Curtis Enis,Bears,Penn State
NA,2,1,9,9,Fred Taylor,Jaguars,Florida
NA,3,1,18,18,Robert Edwards,Patriots,Georgia
NA,4,1,29,29,John Avery,Dolphins,Mississippi
NA,5,2,7,37,Robert Holcombe,Rams,Illinois
NA,6,3,2,63,Jon Ritchie,Raiders,Stanford
NA,7,3,8,69,Skip Hicks,Redskins,UCLA
NA,8,3,15,76,Ahman Green,Seahawks,Nebraska
NA,9,3,20,81,Chris Floyd,Patriots,Michigan
NA,10,3,27,88,Rashaan Shehee,Chiefs,Washington
NA,11,4,3,95,Michael Pittman,Cardinals,Fresno State
NA,12,4,9,101,Tavian Banks,Jaguars,Iowa
NA,13,4,30,122,Curtis Alexander,Broncos,Alabama
NA,14,4,31,123,Carlos King,Steelers,North Carolina State
NA,15,5,6,129,Raymond Priester,Rams,Clemson
NA,16,5,8,131,Jonathan Linton,Bills,North Carolina
NA,17,5,9,132,Wilmont Perry,Saints,Livingstone (NC)
NA,18,5,30,153,Chris Howard,Broncos,Michigan
NA,19,6,23,176,Harold Shaw,Patriots,Southern Mississippi
NA,20,6,25,178,Chris Fuamatu-Ma'afala,Steelers,Utah
NA,21,6,27,180,Fred Beasley,49ers,Auburn
NA,22,6,29,182,Kevin McLeod,Jaguars,Auburn
NA,23,6,30,183,Dustin Johnson,Jets,Brigham Young
NA,24,7,5,194,Jon Haskins,Chargers,Stanford
NA,25,7,12,201,Ken Oxendine,Falcons,Virginia Tech
NA,26,7,13,202,Marcus Parker,Bengals,Virginia Tech
NA,27,7,29,218,Edwin Watson,Packers,Purdue
NA,28,7,34,223,Tarik Smith,Cowboys,California
NA,29,7,35,224,Ernest Blackwell,Chiefs,Missouri
NA,30,7,44,233,Ron Janes,Cardinals,Missouri
1997,1,1,12,12,Warrick Dunn,Buccaneers,Florida State
NA,2,1,23,23,Antowain Smith,Bills,Houston
NA,3,2,6,36,Tiki Barber,Giants,Virginia
NA,4,2,11,41,Byron Hanspard,Falcons,Texas Tech
NA,5,2,13,43,Corey Dillon,Bengals,Washington
NA,6,2,25,55,Marc Edwards,49ers,Notre Dame
NA,7,3,1,61,Sedrick Shaw,Patriots,Iowa
NA,8,3,2,62,Troy Davis,Saints,Iowa State
NA,9,3,4,64,Jay Graham,Ravens,Tennessee
NA,10,3,11,71,Duce Staley,Eagles,South Carolina
NA,11,4,8,104,Leon Johnson,Jets,North Carolina
NA,12,4,9,105,Darnell Autry,Bears,Northwestern
NA,13,4,27,123,Chad Levitt,Raiders,Cornell
NA,14,4,33,129,Nicky Sualua,Cowboys,Ohio State
NA,15,5,8,138,Kenny Bynum,Chargers,South Carolina State
NA,16,5,24,154,George Jones,Steelers,San Diego State
NA,17,5,33,163,June Henley,Chiefs,Kansas
NA,18,6,4,167,Steve Lee,Ravens,Indiana
NA,19,6,9,172,Calvin Branch,Raiders,Colorado State
NA,20,6,12,175,Rod Brown,Cardinals,North Carolina State
NA,21,6,21,184,Daimon Shelton,Jaguars,Sacramento State
NA,22,7,5,206,Terry Battle,Lions,Arizona State
NA,23,7,30,231,Jerald Sowell,Packers,Tulane
1996,1,1,6,6,Lawrence Phillips,Rams,Nebraska
NA,2,1,8,8,Tim Biakabutuka,Panthers,Michigan
NA,3,1,14,14,Eddie George,Oilers,Ohio State
NA,4,2,2,32,Leeland McElroy,Cardinals,Texas A&M
NA,5,2,5,35,Mike Alstott,Buccaneers,Purdue
NA,6,3,4,65,Detron Smith,Broncos,Texas A&M
NA,7,3,12,73,Winslow Oliver,Panthers,New Mexico
NA,8,3,14,75,Moe Williams,Vikings,Kentucky
NA,9,3,19,80,Karim Abdul-Jabbar,Dolphins,UCLA
NA,10,3,22,83,Jerald Moore,Rams,Oklahoma
NA,11,3,30,91,Reggie Brown,Seahawks,Fresno State
NA,12,3,31,92,Jon Witman,Steelers,Penn State
NA,13,4,7,102,Stephen Davis,Redskins,Auburn
NA,14,4,8,103,Ricky Whittle,Saints,Oregon
NA,15,4,20,115,Brian Milne,Colts,Penn State
NA,16,4,22,117,Richard Huntley,Falcons,Winston-Salem State
NA,17,4,23,118,Stanley Pritchett,Dolphins,South Carolina
NA,18,4,28,123,Chris Darkins,Packers,Minnesota
NA,19,4,29,124,Kantroy Barber,Patriots,West Virginia
NA,20,5,2,134,Jerris McPhail,Dolphins,East Carolina
NA,21,5,10,142,Marquette Smith,Panthers,Central Florida
NA,22,6,8,175,Derrick Harris,Rams,Miami (FL)
NA,23,6,16,183,Tim Hall,Raiders,Robert Morris
NA,24,6,26,193,Scott Greene,Panthers,Michigan State
NA,25,6,28,195,Marrio Grier,Patriots,Tennessee-Chattanooga
NA,26,6,29,196,Leon Neal,Bills,Washington
NA,27,6,31,198,Stephen Pitts,49ers,Penn State
NA,28,7,9,218,Mike Archie,Oilers,Penn State
NA,29,7,22,231,Freddie Bradley,Chargers,Sonoma State
NA,30,7,26,235,L.T. Levine,Broncos,Kansas
NA,31,7,34,243,Ryan Wood,Cowboys,Arizona State
NA,32,7,44,253,Michael Hicks,Bears,South Carolina State
1995,1,1,1,1,Ki-Jana Carter,Bengals,Penn State
NA,2,1,17,17,Tyrone Wheatley,Giants,Michigan
NA,3,1,18,18,Napoleon Kaufman,Raiders,Washington
NA,4,1,19,19,James Stewart,Jaguars,Tennessee
NA,5,1,21,21,Rashaan Salaam,Bears,Colorado
NA,6,2,12,44,Ray Zellars,Saints,Notre Dame
NA,7,2,14,46,Sherman Williams,Cowboys,Alabama
NA,8,2,19,51,Terrell Fletcher,Chargers,Wisconsin
NA,9,3,2,66,William Henderson,Packers,North Carolina
NA,10,3,10,74,Curtis Martin,Patriots,Pittsburgh
NA,11,3,15,79,Zack Crockett,Colts,Florida State
NA,12,3,22,86,Joe Aska,Raiders,Central State (OK)
NA,13,3,25,89,Rodney Thomas,Oilers,Texas A&M
NA,14,4,5,103,Larry Jones,Redskins,Miami (FL)
NA,15,4,6,104,Aaron Hayden,Chargers,Tennessee
NA,16,5,23,157,James Stewart,Vikings,Miami (FL)
NA,17,5,35,169,Ryan Christopherson,Jaguars,Wyoming
NA,18,5,36,170,Travis Jervey,Packers,Citadel
NA,19,6,21,192,Cory Schlesinger,Lions,Nebraska
NA,20,6,24,195,Dino Philyaw,Patriots,Oregon
NA,21,6,25,196,Terrell Davis,Broncos,Georgia
NA,22,6,35,206,Charles Way,Giants,Virginia
NA,23,6,37,208,Fred McCrary,Jaguars,Mississippi State
NA,24,7,2,210,Kevin Bouie,Eagles,Mississippi State
NA,25,7,36,244,Darick Holmes,Bills,Portland State
1994,1,1,2,2,Marshall Faulk,Colts,San Diego State
NA,2,1,25,25,Greg Hill,Chiefs,Texas A&M
NA,3,1,28,28,William Floyd,49ers,Florida State
NA,4,2,5,34,Errict Rhett,Buccaneers,Florida
NA,5,2,9,38,Chuck Levy,Cardinals,Arizona
NA,6,2,13,42,Charlie Garner,Eagles,Tennessee
NA,7,2,15,44,Mario Bates,Saints,Arizona State
NA,8,2,29,58,Donnell Bennett,Chiefs,Miami (FL)
NA,9,3,1,66,Jeff Cothran,Bengals,Ohio State
NA,10,3,8,73,Lamar Smith,Seahawks,Houston
NA,11,3,15,80,Calvin Jones,Raiders,Nebraska
NA,12,3,18,83,James Bostic,Rams,Auburn
NA,13,3,19,84,LeShon Johnson,Packers,Northern Illinois
NA,14,3,26,91,Bam Morris,Steelers,Texas Tech
NA,15,3,30,95,Gary Downs,Giants,North Carolina State
NA,16,4,11,114,Raymont Harris,Bears,Ohio State
NA,17,4,26,129,Sean Jackson,Oilers,Florida State
NA,18,5,18,149,Dorsey Levens,Packers,Georgia Tech
NA,19,5,29,160,Tony Vinson,Chargers,Towson
NA,20,6,3,164,Lamont Warren,Colts,Colorado
NA,21,6,10,171,Robert Strait,Browns,Baylor
NA,22,6,12,173,Fred Lester,Jets,Alabama A&M
NA,23,6,24,185,Anthony Daigle,Chiefs,Fresno State
NA,24,7,7,201,Jamal Anderson,Falcons,Utah
NA,25,7,10,204,Frank Harvey,Cardinals,Georgia
NA,26,7,12,206,Mark Montgomery,Eagles,Wisconsin
NA,27,7,15,209,Brice Abrams,Steelers,Michigan State
NA,28,7,18,212,Butler By'not'e,Broncos,Ohio State
1993,1,1,3,3,Garrison Hearst,Cardinals,Georgia
NA,2,1,10,10,Jerome Bettis,Rams,Notre Dame
NA,3,1,21,21,Robert Smith,Vikings,Ohio State
NA,4,2,12,41,Natrone Means,Chargers,North Carolina
NA,5,2,14,43,Glyn Milburn,Broncos,Stanford
NA,6,2,16,45,Reggie Brooks,Redskins,Notre Dame
NA,7,2,20,49,Roosevelt Potts,Colts,N.E. Louisiana
NA,8,3,17,73,Russell White,Rams,California
NA,9,3,22,78,Terry Kirby,Dolphins,Virginia
NA,10,4,3,87,Ronald Moore,Cardinals,Pittsburg State (KS)
NA,11,4,5,89,Lorenzo Neal,Saints,Fresno State
NA,12,4,7,91,Rudy Harris,Buccaneers,Clemson
NA,13,4,10,94,Derrick Lassic,Cowboys,Alabama
NA,14,4,25,109,Derek Brown,Saints,Nebraska
NA,15,5,8,120,Adrian Murrell,Jets,West Virginia
NA,16,5,14,126,Kevin Williams,Broncos,UCLA
NA,17,6,4,144,Richie Anderson,Jets,Penn State
NA,18,6,19,159,Darius Turner,Chiefs,Washington
NA,19,7,16,184,Lance Lewis,Colts,Nebraska
NA,20,8,12,208,Greg Robinson,Raiders,N.E. Louisiana
1992,1,1,9,9,Tommy Vardell,Browns,Stanford
NA,2,1,19,19,Tony Smith,Falcons,Southern Mississippi
NA,3,1,21,21,Vaughn Dunbar,Saints,Indiana
NA,4,2,17,45,Amp Lee,49ers,Florida State
NA,5,2,20,48,Siran Stacy,Eagles,Alabama
NA,6,3,15,71,Kevin Turner,Patriots,Alabama
NA,7,4,1,85,Rodney Culver,Colts,Notre Dame
NA,8,4,8,92,Tony Brooks,Eagles,Notre Dame
NA,9,4,19,103,Edgar Bennett,Packers,Florida State
NA,10,5,1,113,Maury Toy,Colts,UCLA
NA,11,5,7,119,Dexter McNabb,Packers,Florida
NA,12,6,4,144,Joe Campbell,Rams,Middle Tennessee State
NA,13,6,12,152,Mike Gaddis,Vikings,Oklahoma
NA,14,6,27,167,Nate Turner,Bills,Nebraska
NA,15,7,17,185,Kevin Smith,Raiders,UCLA
NA,16,7,20,188,Scottie Graham,Steelers,Ohio State
NA,17,8,4,200,Anthony McDowell,Buccaneers,Texas Tech
NA,18,8,8,204,Scott Lockwood,Patriots,USC
NA,19,8,9,205,Sam Gash,Patriots,Penn State
NA,20,8,11,207,Muhammad Shamsid-Deen,Seahawks,Tennessee-Chattanooga
NA,21,8,16,212,Ronald Humphrey,Colts,Mississippi Valley State
NA,22,8,20,216,Derrick Moore,Falcons,Northeastern State (OK)
NA,23,9,2,226,Ostell Miles,Bengals,Houston
NA,24,10,3,255,Tim Lester,Raiders,Eastern Kentucky
NA,25,10,7,259,Reggie Yarbrough,Cardinals,Fullerton State
NA,26,10,10,262,Mike Saunders,Steelers,Iowa
NA,27,10,15,267,Raoul Spears,Dolphins,USC
NA,28,10,21,273,Nikki Fisher,Bears,Virginia
NA,29,11,4,284,Mazio Royster,Buccaneers,USC
NA,30,11,5,285,Keith McAfee,Chargers,Texas A&M
NA,31,11,15,295,Charles Evans,Vikings,Clark
NA,32,11,26,306,Ed Tillison,Lions,Northwest Missouri State
NA,33,12,20,328,Kameno Bell,Dolphins,Illinois
1991,1,1,14,14,Leonard Russell,Patriots,Arizona State
NA,2,1,21,21,Harvey Williams,Chiefs,Louisiana State
NA,3,1,27,27,Jarrod Bunch,Giants,Michigan
NA,4,2,12,39,Eric Bieniemy,Chargers,Colorado
NA,5,2,16,43,Nick Bell,Raiders,Iowa
NA,6,2,18,45,Ricky Watters,49ers,Notre Dame
NA,7,3,5,60,Aaron Craver,Dolphins,Fresno State
NA,8,3,21,76,Ricky Ervins,Redskins,USC
NA,9,3,25,80,Robert Wilson,Buccaneers,Texas A&M
NA,10,3,26,81,Chuck Webb,Packers,Tennessee
NA,11,4,9,92,Randy Baldwin,Vikings,Mississippi
NA,12,4,14,97,Curvin Richards,Cowboys,Pittsburgh
NA,13,5,1,112,Jon Vaughn,Patriots,Michigan
NA,14,5,4,115,Greg Lewis,Broncos,Washington
NA,15,6,6,145,Erric Pegram,Falcons,North Texas
NA,16,6,9,148,Blaise Bryant,Jets,Iowa State
NA,17,6,10,149,Walter Dean,Packers,Grambling State
NA,18,6,15,154,Fred McAfee,Saints,Mississippi College
NA,19,6,19,158,Leroy Thompson,Steelers,Penn State
NA,20,6,22,161,Darren Lewis,Bears,Texas A&M
NA,21,7,3,170,Tyrone Shelton,Rams,William & Mary
NA,22,7,4,171,Ivory Lee Brown,Cardinals,Arkansas-Pine Bluff
NA,23,7,20,187,James Josephy,Eagles,Auburn
NA,24,7,26,193,Sheldon Canley,49ers,San Jose State
NA,25,7,27,194,Amir Rasul,Bills,Florida A&M
NA,26,8,3,198,Greg Amsler,Cardinals,Tennessee
NA,27,8,10,205,Cedric Jackson,Lions,Texas Christian
NA,28,8,16,211,Mike Dingle,Bengals,South Carolina
NA,29,8,19,214,Gary Brown,Oilers,Penn State
NA,30,9,9,232,Gerald Hudson,Vikings,Oklahoma State
NA,31,9,13,236,Howard Griffith,Colts,Illinois
NA,32,9,14,237,Anthony Wallace,Saints,California
NA,33,9,19,242,Chuck Weatherspoon,Eagles,Houston
NA,34,10,4,254,Roland Poles,Chargers,Tennessee
NA,35,10,11,261,Al Baker,Jets,Kentucky
NA,36,10,15,265,Hyland Hickson,Buccaneers,Michigan State
NA,37,11,13,291,Tony Boles,Cowboys,Michigan
NA,38,11,19,297,Tony Stewart,Seahawks,Iowa
NA,39,12,4,310,Bob Christian,Falcons,Northwestern
NA,40,12,6,312,Ernie Thompson,Rams,Indiana
NA,41,12,11,317,Chris Samuels,Chargers,Texas
1990,1,1,2,2,Blair Thomas,Jets,Penn State
NA,2,1,17,17,Emmitt Smith,Cowboys,Florida
NA,3,1,19,19,Darrell Thompson,Packers,Minnesota
NA,4,1,20,20,Steve Broussard,Falcons,Washington State
NA,5,1,24,24,Rodney Hampton,Giants,Georgia
NA,6,1,25,25,Dexter Carter,49ers,Florida State
NA,7,2,5,30,Reggie Cobb,Buccaneers,Tennessee
NA,8,2,6,31,Anthony Thompson,Cardinals,Indiana
NA,9,2,11,36,Anthony Johnson,Colts,Notre Dame
NA,10,2,13,38,Harold Green,Bengals,South Carolina
NA,11,2,17,42,Carwell Gardner,Bills,Louisville
NA,12,2,20,45,Leroy Hoard,Browns,Michigan
NA,13,3,25,78,Latin Berry,Rams,Oregon
NA,14,4,8,89,Chris Warren,Seahawks,Ferrum
NA,15,4,19,100,Eddie Fuller,Bills,Louisiana State
NA,16,5,6,115,Larry Centers,Cardinals,Stephen F. Austin
NA,17,5,8,117,Pat Chaffey,Bears,Oregon State
NA,18,5,11,120,James Gray,Patriots,Texas Tech
NA,19,5,19,128,Barry Foster,Steelers,Arkansas
NA,20,5,21,130,Brian Mitchell,Redskins,Southwestern Louisiana
NA,21,5,22,131,Cedric Smith,Vikings,Florida
NA,22,5,28,137,Leroy Holt,Dolphins,USC
NA,23,6,2,139,Mike Pringle,Falcons,Fullerton State
NA,24,6,4,141,Derrick Douglas,Buccaneers,Louisiana Tech
NA,25,6,12,149,Marcus Wilson,Raiders,Virginia
NA,26,7,4,169,Johnny Johnson,Cardinals,San Jose State
NA,27,7,19,184,Andy Murray,Oilers,Kentucky
NA,28,7,26,191,Aaron Emanuel,Giants,USC
NA,29,8,7,200,James Rouse,Bears,Arkansas
NA,30,8,8,201,J.J. Flannigan,Chargers,Colorado
NA,31,8,13,206,Ken Clark,Colts,Nebraska
NA,32,9,8,228,Johnny Bailey,Bears,Texas A&I
NA,33,9,10,230,Leon Perry,Raiders,Oklahoma
NA,34,9,13,233,Broderick Graves,Saints,Winston-Salem State
NA,35,9,15,235,Michael Owens,Chiefs,Syracuse
NA,36,9,21,241,Terry Allen,Vikings,Clemson
NA,37,10,5,253,Anthony Landry,Patriots,Stephen F. Austin
NA,38,11,9,285,Reginald Warnsley,Lions,Southern Mississippi
NA,39,11,15,291,Ernest Thompson,Chiefs,Georgia Southern
NA,40,11,23,299,Harry Jackson,Packers,St. Cloud State
NA,41,11,28,304,Myron Jones,Raiders,Fresno State
NA,42,12,4,308,Donnie Riley,Cardinals,Central Michigan
NA,43,12,15,319,Richard Bell,Steelers,Nebraska
NA,44,12,23,327,Judd Garrett,Eagles,Princeton
NA,45,12,24,328,David Lang,Rams,Northern Arizona
NA,1,1,0,0,Bobby Humphrey,Broncos,Alabama
NA,2,12,0,0,Mike Lowman,Cowboys,Coffeyville J.C.
1989,1,1,3,3,Barry Sanders,Lions,Oklahoma State
NA,2,1,7,7,Tim Worley,Steelers,Georgia
NA,3,1,9,9,Sammie Smith,Dolphins,Florida State
NA,4,1,13,13,Eric Metcalf,Browns,Texas
NA,5,1,26,26,Cleveland Gary,Rams,Miami (FL)
NA,6,2,7,35,Eric Ball,Bengals,UCLA
NA,7,2,11,39,Darly Johnston,Cowboys,Syracuse
NA,8,3,6,62,Keith Jones,Falcons,Illinois
NA,9,3,15,71,Elroy Harris,Seahawks,Eastern Kentucky
NA,10,3,20,76,Robert Drummond,Eagles,Syracuse
NA,11,3,28,84,Keith Henderson,49ers,Georgia
NA,12,4,9,93,Lewis Tillman,Giants,Jackson State
NA,13,5,5,117,Jamie Lawson,Buccaneers,Nicholls State
NA,14,5,15,127,Vince Workman,Packers,Ohio State
NA,15,5,18,130,Mark Green,Bears,Notre Dame
NA,16,5,20,132,Dave Meggett,Giants,Towson
NA,17,6,17,156,Doug Lloyd,Raiders,North Dakota State
NA,18,6,23,162,Heath Sherman,Eagles,Texas A&I
NA,19,6,26,165,Eric Mitchell,Patriots,Oklahoma
NA,20,6,27,166,Craig Taylor,Bengals,West Virginia
NA,21,7,5,172,Undra Johnson,Falcons,West Virginia
NA,22,7,13,180,Melvin Bratton,Broncos,Miami (FL)
NA,23,7,15,182,Ivy Joe Hunter,Colts,Kentucky
NA,24,7,16,183,Marion Butts,Chargers,Florida State
NA,25,8,1,196,Charvez Foger,Cowboys,Nevada
NA,26,8,4,199,Bryan Tobey,Chiefs,Grambling State
NA,27,8,10,205,Derrick Gainer,Raiders,Florida A&M
NA,28,8,12,207,John Burch,Cardinals,Tennessee-Martin
NA,29,8,14,209,Anthony Brown,Jets,West Virginia
NA,30,8,25,220,Todd McNair,Chiefs,Temple
NA,31,9,7,230,Patrick Egu,Buccaneers,Nevada
NA,32,9,17,240,Darron Norris,Patriots,Texas
NA,33,9,18,241,Wayne Williams,Broncos,Florida
NA,34,9,25,248,Byron Sanders,Bears,Northwestern
NA,35,10,17,268,Derrick Fenner,Seahawks,North Carolina
NA,36,10,20,271,Tracy Johnson,Oilers,Clemson
NA,37,10,22,273,Joe Henderson,Saints,Iowa State
NA,38,11,7,286,Greg Paterra,Falcons,Slippery Rock
NA,39,11,8,287,Victor Floyd,Chargers,Florida State
NA,40,11,10,289,Jim Bell,49ers,Boston College
NA,41,11,15,294,Tony Hinz,Patriots,Harvard
NA,42,11,24,303,Brad Baxter,Vikings,Alabama State
NA,43,12,4,311,Bill Jones,Chiefs,Southwest Texas State
NA,44,12,7,314,William DuBose,Colts,South Carolina State
NA,45,12,10,317,Joe Mickles,Redskins,Mississippi
1988,1,1,14,14,Gaston Green,Rams,UCLA
NA,2,1,17,17,John Stephens,Patriots,Northwestern State (LA)
NA,3,1,22,22,Lorenzo White,Oilers,Michigan State
NA,4,1,23,23,Brad Muster,Bears,Stanford
NA,5,1,24,24,Craig Heyward,Saints,Pittsburgh
NA,6,2,4,31,Ickey Woods,Bengals,UNLV
NA,7,2,11,38,Tony Jeffery,Cardinals,Texas Christian
NA,8,2,13,40,Thurman Thomas,Bills,Oklahoma State
NA,9,2,26,53,Lars Tate,Buccaneers,Georgia
NA,10,3,6,61,Keith Woodside,Packers,Texas A&M
NA,11,3,11,66,Mike Oliphant,Redskins,Puget Sound
NA,12,4,19,101,Kevin Harmon,Seahawks,Iowa
NA,13,4,24,106,Lydell Carr,Saints,Oklahoma
NA,14,4,27,109,Jamie Morris,Redskins,Michigan
NA,15,5,4,113,William Howard,Buccaneers,Tennessee
NA,16,5,8,117,Robert Delpino,Rams,Missouri
NA,17,5,23,132,Tony Jordan,Cardinals,Kansas State
NA,18,6,2,139,James Saxon,Chiefs,San Jose State
NA,19,6,5,142,Carl Painter,Lions,Hampton
NA,20,6,10,147,Keith Jones,Rams,Nebraska
NA,21,6,16,153,Melvin Bratton,Dolphins,Miami (FL)
NA,22,6,18,155,Warren Williams,Steelers,Miami (FL)
NA,23,6,19,156,George Cooper,Dolphins,Ohio State
NA,24,7,2,167,Kerry Goode,Buccaneers,Alabama
NA,25,7,7,172,Gary Patton,Jets,Eastern Michigan
NA,26,7,19,184,Bo Wright,Bills,Alabama
NA,27,8,5,198,Anthony Simpson,Buccaneers,East Carolina
NA,28,8,7,200,Patrick Collins,Packers,Oklahoma
